Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au	distance
149	-0.990767490234377	0.405	0.0	0.0	0.0	0.121	0.0	0.24	0.234	0.01732738294018631
150	-0.9475087304687496	0.652	0.0	0.028	0.0	0.0	0.104	0.214	0.002	0.07277758230225279
151	-0.8097504394531261	0.301	0.0	0.0	0.075	0.0	0.536	0.088	0.0	0.29125668103466934
152	-0.974678369140626	0.398	0.0	0.0	0.0	0.131	0.0	0.134	0.337	0.031785656939077575
153	-0.67770234375	0.206	0.002	0.0	0.091	0.446	0.051	0.206	-0.002	0.24648822489288266
154	-0.7069741406250007	0.436	0.563	0.0	0.0	0.0	0.0	0.0	0.001	0.3390467948794823
155	-0.9490255761718767	0.419	0.0	0.0	0.0	0.073	0.069	0.217	0.222	0.008983404978806422
156	-0.9518164941406254	0.376	0.0	0.0	0.0	0.217	0.0	0.213	0.194	0.05111655794266511
157	-0.835918925781253	0.303	0.0	0.0	0.0	0.0	0.473	0.0	0.224	0.2608099462496596
158	-0.8737151953124974	0.53	0.0	0.061	0.0	0.174	0.0	0.234	0.001	0.05443052257479429
159	-0.6423092480468713	0.203	0.0	0.139	0.0	0.024	0.261	0.373	0.0	0.12678394812803562
160	-0.9538956835937505	0.307	0.0	0.0	0.0	0.0	0.183	0.204	0.306	0.03285607831880041
161	-0.8363013476562501	0.416	0.0	0.0	0.089	0.294	0.0	0.2	0.001	0.09924835730310179
162	-0.9465079687499982	0.504	0.045	0.006	0.066	0.011	0.053	0.315	0.0	0.021520288913004285
163	-0.19402374023437471	0.0	0.0	0.0	0.0	0.638	0.358	0.003	0.001	0.7271587404055674
164	-0.9937659179687529	0.351	0.077	0.0	0.0	0.0	0.0	0.124	0.448	0.019104067145807056
165	-0.7410235449218776	0.35	0.164	0.0	0.0	0.0	0.0	0.0	0.486	0.07861957546336809
166	-1.0156155371093727	0.351	0.047	0.0	0.0	0.07	0.0	0.177	0.355	0.012740136773171533
167	-1.0077532617187503	0.374	0.075	0.0	0.0	0.0	0.0	0.212	0.339	0.0041386068213954234
168	-1.0093205957031204	0.418	0.038	0.0	0.03	0.0	0.19	0.323	0.001	0.03173415565180491
169	-1.0285547558593744	0.383	0.057	0.0	0.0	0.083	0.0	0.218	0.259	0.009334344808951183
170	-0.4364521875000003	0.151	0.0	0.627	0.025	0.197	0.0	0.0	0.0	0.554184751010593
171	-0.8989618554687446	0.382	0.05	0.053	0.0	0.155	0.092	0.268	0.0	0.031158315513492765
172	-0.4155020507812499	0.328	0.498	0.0	0.157	0.011	0.0	0.006	0.0	0.29976213108771654
173	-0.8095212890624978	0.171	0.0	0.0	0.0	0.12	0.27	0.44	-0.001	0.16074860088691012
174	-0.9704904296874995	0.414	0.059	0.0	0.0	0.073	0.0	0.273	0.181	0.008193454168395786
175	-0.6097284082031265	0.319	0.0	0.451	0.0	0.0	0.229	0.0	0.001	0.30767978108533994
176	-0.9939587499999991	0.416	0.072	0.0	0.0	0.0	0.0	0.153	0.359	0.010927253860089484
177	-1.0200411328125008	0.356	0.069	0.0	0.0	0.0	0.109	0.205	0.261	0.009661510920491863
178	-0.7395878710937512	0.318	0.143	0.0	0.0	0.0	0.0	0.201	0.338	0.02059577955753132
179	-1.0362557910156216	0.38	0.049	0.0	0.0	0.0	0.135	0.216	0.22	0.011105958634232969
180	-0.15959345703124994	0.0	0.0	0.0	0.671	0.327	0.0	0.0	0.002	0.7768873978135129
181	-1.0303903124999976	0.384	0.044	0.0	0.0	0.045	0.0	0.195	0.332	0.005809965079751844
182	-0.8439635644531217	0.211	0.0	0.0	0.047	0.322	0.0	0.419	0.001	0.17423092671092436
183	-0.16259504882812414	0.0	0.0	0.479	0.217	0.035	0.269	0.0	0.0	0.5507404091425984
184	-0.6621462890625013	0.57	0.131	0.062	0.0	0.0	0.235	0.0	0.002	0.14153192915300544
185	-0.8122500683593777	0.255	0.0	0.0	0.0	0.0	0.234	0.0	0.511	0.12034065335390665
186	-0.8036668749999955	0.545	0.002	0.113	0.008	0.002	0.0	0.329	0.001	0.044593670327196674
187	-1.0206343847656236	0.396	0.045	0.0	0.0	0.121	0.0	0.192	0.246	0.018674583619086818
188	-0.7561159863281242	0.155	0.0	0.0	0.0	0.3	0.308	0.236	0.001	0.22479764608954095
189	-0.6729853027343705	0.19	0.0	0.139	0.0	0.305	0.035	0.332	-0.001	0.16477430069087082
190	-1.046209023437497	0.377	0.051	0.0	0.0	0.0	0.137	0.166	0.269	0.0169802692821647
191	-0.9149029882812467	0.32	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.19919872920632897
192	-0.9461067871093722	0.429	0.0	0.0	0.0	0.001	0.0	0.57	0.0	0.11062776456548518
193	-1.0168781250000019	0.374	0.052	0.0	0.0	0.0	0.091	0.124	0.359	0.018143655740612562
194	-1.040370341796872	0.37	0.048	0.0	0.0	0.0	0.162	0.177	0.243	0.021320889311598597
195	-0.5648213378906263	0.361	0.0	0.0	0.639	0.0	0.0	0.0	0.0	0.4716954863386863
196	-0.5910694921874999	0.35	0.206	0.444	0.0	0.0	0.0	0.0	0.0	0.2882019995158053
197	-0.3595905566406264	0.102	0.0	0.0	0.215	0.324	0.359	0.0	0.0	0.4030924294448347
198	-0.9531107812499989	0.668	0.009	0.008	0.007	0.15	0.0	0.159	-0.001	0.10480667624685201
