Iteration	COC_Opt	Pt	Ru	Rh	Ir	Re	Os	Pd	Au
145	-0.8710642382812448	0.258	0.0	0.0	0.0	0.133	0.208	0.402	-0.001
146	-0.8786174999999997	0.542	0.012	0.002	0.003	0.065	0.342	0.018	0.016
147	-0.5331001855468769	0.165	0.508	0.109	0.013	0.004	0.014	0.18	0.007
148	-0.6686396679687494	0.62	0.0	0.181	0.0	0.187	0.0	0.012	0.0
149	-0.5857871484374986	0.195	0.242	0.173	0.011	0.026	0.018	0.328	0.007
150	-0.8356823144531248	0.252	0.006	0.007	0.034	0.168	0.008	0.174	0.351
151	-0.3406074902343754	0.175	0.214	0.007	0.203	0.006	0.027	0.088	0.28
152	-0.6003789453124988	0.168	0.025	0.122	0.002	0.152	0.01	0.351	0.17
153	-0.7073749999999998	0.515	0.121	0.096	0.01	0.024	0.004	0.186	0.044
154	-0.5553907617187511	0.28	0.01	0.0	0.168	0.019	0.523	0.0	0.0
155	-0.8608947167968708	0.3	0.0	0.0	0.0	0.163	0.182	0.186	0.169
156	-1.0218852246093761	0.451	0.0	0.0	0.0	0.0	0.0	0.256	0.293
157	-0.7228105664062484	0.167	0.014	0.041	0.003	0.343	0.019	0.275	0.138
158	-0.5150263085937518	0.221	0.01	0.003	0.227	0.224	0.029	0.275	0.011
159	-0.4992003808593794	0.283	0.002	0.016	0.51	0.053	0.132	0.002	0.002
160	-0.5743685937500014	0.297	0.154	0.01	0.013	0.454	0.028	0.019	0.025
161	-0.515639667968753	0.234	0.009	0.022	0.162	0.282	0.275	0.014	0.002
162	-0.16888031249999916	0.03	0.014	0.389	0.016	0.049	0.003	0.035	0.464
163	-0.13030595703124984	0.009	0.261	0.371	0.0	0.006	0.31	0.039	0.004
164	-0.9634613671874965	0.583	0.035	0.006	0.006	0.046	0.09	0.201	0.033
165	-0.9424916308593722	0.566	0.0	0.0	0.0	0.139	0.147	0.148	0.0
166	-0.7349089550781198	0.354	0.031	0.162	0.003	0.036	0.071	0.326	0.017
167	-0.8462929296874995	0.364	0.013	0.106	0.003	0.003	0.013	0.202	0.296
168	-0.12619083007812504	0.027	0.341	0.123	0.028	0.211	0.003	0.259	0.008
169	-0.7609809472656259	0.235	0.013	0.009	0.005	0.133	0.002	0.043	0.56
170	-0.9140690234375002	0.404	0.071	0.002	0.005	0.222	0.015	0.01	0.271
171	-1.0093649609375002	0.415	0.046	0.001	0.066	0.014	0.014	0.155	0.289
172	-1.0040637500000011	0.442	0.0	0.0	0.051	0.0	0.0	0.225	0.282
173	-0.9593988378906275	0.403	0.019	0.0	0.07	0.0	0.0	0.115	0.393
174	-1.034270400390623	0.426	0.048	0.0	0.03	0.0	0.0	0.202	0.294
175	-1.0337525878906222	0.427	0.051	0.0	0.025	0.0	0.032	0.188	0.277
176	-1.0348333593749985	0.409	0.059	0.0	0.026	0.0	0.009	0.183	0.314
177	-1.0350391503906227	0.424	0.051	0.0	0.029	0.0	0.014	0.196	0.286
178	-1.0341586816406234	0.427	0.057	0.0	0.03	0.0	0.012	0.185	0.289
179	-1.0395459765624988	0.41	0.06	0.0	0.038	0.0	0.019	0.193	0.28
180	-1.0301415136718743	0.406	0.065	0.0	0.041	0.0	0.021	0.191	0.276
181	-0.6427917382812495	0.285	0.157	0.002	0.062	0.07	0.125	0.219	0.08
182	-0.5023505078125021	0.467	0.085	0.003	0.183	0.024	0.15	0.051	0.037
183	-0.7128326269531267	0.301	0.09	0.019	0.014	0.008	0.144	0.087	0.337
184	-1.0347513964843726	0.416	0.049	0.0	0.035	0.0	0.011	0.196	0.293
185	-1.019971962890623	0.409	0.057	0.0	0.031	0.016	0.0	0.193	0.294
186	-0.1820570800781256	0.055	0.19	0.007	0.01	0.008	0.603	0.121	0.006
187	-0.9717078808593699	0.5	0.071	0.0	0.0	0.048	0.165	0.216	0.0
188	-0.6671112695312499	0.368	0.004	0.467	0.022	0.023	0.033	0.054	0.029
189	-0.8569636718750004	0.295	0.008	0.004	0.106	0.002	0.038	0.278	0.269
190	-0.47085591796874965	0.387	0.02	0.126	0.167	0.033	0.011	0.239	0.017
191	-1.038291240234373	0.427	0.051	0.0	0.037	0.0	0.022	0.194	0.269
192	-0.86486180664062	0.239	0.008	0.025	0.02	0.127	0.02	0.52	0.041
193	-0.9527175683593745	0.224	0.0	0.0	0.0	0.0	0.0	0.441	0.335
194	-0.21032271484375017	0.017	0.0	0.0	0.288	0.04	0.1	0.554	0.001
195	-0.9205657324218719	0.341	0.0	0.0	0.0	0.0	0.0	0.659	0.0
196	-0.9198017773437452	0.304	0.0	0.0	0.0	0.0	0.13	0.566	0.0
197	-0.7136106640624962	0.216	0.031	0.218	0.0	0.0	0.014	0.521	0.0
198	-0.885892744140617	0.187	0.028	0.035	0.027	0.005	0.018	0.694	0.006
199	-0.7699103027343728	0.243	0.096	0.0	0.0	0.0	0.0	0.66	0.001
200	-0.9003232519531237	0.233	0.088	0.0	0.0	0.0	0.0	0.311	0.368
201	-0.8772981933593703	0.309	0.0	0.0	0.0	0.069	0.0	0.621	0.001
202	-0.8763400585937485	0.203	0.0	0.0	0.0	0.0	0.0	0.617	0.18
203	-1.036121289062498	0.451	0.04	0.0	0.024	0.0	0.024	0.226	0.235
204	-0.8916590917968754	0.399	0.0	0.0	0.0	0.126	0.0	0.0	0.475
205	-0.9856429687499978	0.248	0.0	0.0	0.0	0.0	0.107	0.395	0.25
206	-0.9112074999999958	0.282	0.0	0.0	0.0	0.0	0.251	0.467	0.0
207	-0.7981574902343731	0.446	0.347	0.0	0.0	0.0	0.0	0.208	-0.001
208	-0.45805780273437463	0.359	0.118	0.353	0.15	0.004	0.012	0.003	0.001
209	-1.0449358398437485	0.437	0.056	0.0	0.038	0.0	0.021	0.197	0.251
210	-0.10465714843750058	0.038	0.378	0.0	0.004	0.196	0.298	0.013	0.073
211	-1.024585888671874	0.443	0.062	0.0	0.043	0.0	0.02	0.195	0.237
212	-0.7200551953125013	0.253	0.0	0.0	0.0	0.396	0.35	0.0	0.001
213	-0.9852890039062485	0.301	0.0	0.0	0.0	0.0	0.04	0.384	0.275
214	-0.9370610253906225	0.246	0.0	0.0	0.0	0.124	0.0	0.375	0.255
215	-0.8840717382812486	0.334	0.0	0.0	0.0	0.285	0.0	0.235	0.146
216	-0.5330956054687527	0.29	0.0	0.0	0.268	0.0	0.0	0.0	0.442
217	-0.9585920410156226	0.445	0.068	0.0	0.0	0.177	0.187	0.123	0.0
218	-0.8442840625000009	0.772	0.0	0.0	0.0	0.131	0.066	0.031	0.0
219	-0.6628970117187494	0.371	0.018	0.348	0.0	0.263	0.0	0.0	0.0
220	-0.8908149999999959	0.341	0.0	0.067	0.0	0.0	0.086	0.506	0.0
221	-0.7975962988281236	0.261	0.0	0.098	0.011	0.0	0.012	0.617	0.001
222	-0.8232628515624955	0.208	0.003	0.033	0.011	0.031	0.103	0.46	0.151
223	-0.9817990136718718	0.464	0.038	0.0	0.0	0.044	0.075	0.173	0.206
224	-0.8096875097656238	0.45	0.0	0.059	0.0	0.161	0.241	0.089	0.0
225	-0.8850133789062524	0.387	0.0	0.0	0.0	0.0	0.445	0.0	0.168
226	-0.4974008300781258	0.162	0.0	0.0	0.143	0.0	0.0	0.695	0.0
227	-0.5916383886718729	0.162	0.052	0.597	0.006	0.002	0.028	0.137	0.016
228	-0.867511630859373	0.76	0.09	0.0	0.0	0.0	0.0	0.15	0.0
229	-1.0362712109374974	0.429	0.044	0.0	0.034	0.0	0.023	0.204	0.266
230	-0.26633335937500013	0.062	0.026	0.01	0.019	0.032	0.072	0.338	0.441
231	-0.8787193261718772	0.734	0.0	0.0	0.0	0.0	0.215	0.052	-0.001
232	-0.5550818554687512	0.34	0.437	0.133	0.0	0.0	0.0	0.09	0.0
233	-0.7490148828125026	0.231	0.0	0.0	0.0	0.091	0.368	0.0	0.31
234	-0.9166552832031241	0.63	0.001	0.0	0.087	0.0	0.002	0.28	0.0
235	-0.7918775781249991	0.352	0.099	0.0	0.0	0.15	0.0	0.111	0.288
236	-0.9277416308593727	0.294	0.0	0.0	0.0	0.0	0.201	0.335	0.17
237	-0.23547208007812517	0.044	0.0	0.299	0.0	0.0	0.657	0.0	0.0
238	-0.8811780957031242	0.649	0.0	0.0	0.0	0.064	0.192	0.094	0.001
239	-0.6790597851562525	0.457	0.136	0.0	0.0	0.322	0.084	0.0	0.001
240	-0.7852075097656235	0.585	0.133	0.0	0.0	0.0	0.0	0.282	0.0
241	-0.7550740136718731	0.335	0.1	0.0	0.0	0.006	0.286	0.273	0.0
242	-0.5818492480468758	0.255	0.0	0.0	0.121	0.014	0.225	0.385	0.0
243	-0.7132425585937513	0.24	0.0	0.0	0.0	0.561	0.199	0.0	0.0
