Elements	Point	Region	Count	First visit
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.225 0.025 0.225 0.425]	83	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.225 0.025 0.025 0.625]	84	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.825 0.025 0.025]	85	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.025 0.025 0.825]	86	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.025 0.225 0.625]	87	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.025 0.425 0.425]	88	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.025 0.625 0.225]	89	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.025 0.825 0.025]	90	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.225 0.025 0.625]	91	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.625 0.025 0.025 0.225]	92	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.225 0.225 0.425]	93	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.225 0.625 0.025]	94	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.425 0.025 0.425]	95	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.425 0.225 0.225]	96	0	
['Pt', 'Pd', 'Au', 'Ru', 'Rh', 'Ir', 'Re', 'Os']	[0.025 0.025 0.025 0.025 0.025 0.425 0.425 0.025]	97	0	
